accession_version	Accession	Strain	Country	Province	Location	Export_country	Common_name	Species_latin_binomial	Year	Major_clade	Minor_clade	Source	Reference	Coverage	Dataset	full_minor	region	location	host_common_name	host_latin_name	submitters	collection_year
MN234055.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2017
MN234054.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2015
MN234053.1																	North America	Canada		Canis lupus familiaris	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2015
MN234052.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2015
MN234051.1																	North America	Canada		Canis lupus familiaris	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2015
MN234050.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN234049.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN234048.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN234047.1																	North America	Canada		Canis lupus familiaris	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN234046.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN234045.1																	North America	Canada		Canis	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN234044.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN234043.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN234042.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN234041.1																	North America	Canada		Canis lupus familiaris	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN234040.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN234039.1																	North America	Canada		Canis lupus familiaris	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN234038.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN234037.1																	North America	Canada		Canis lupus familiaris	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN234036.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN234035.1																	North America	Canada		Canis lupus familiaris	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2009
MN234034.1																	North America	Canada		Canis lupus familiaris	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2009
MN234033.1																	North America	Canada		Canis lupus familiaris	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2009
MN234032.1																	North America	Canada		Canis	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2009
MN234031.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2009
MN234030.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2004
MN234029.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2004
MN234028.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2004
MN234027.1																	North America	Canada		Canis	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2004
MN234026.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2003
MN234025.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2003
MN234024.1																	North America	Canada		Canis lupus familiaris	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2003
MN234023.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2002
MN234022.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2001
MN234021.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2000
MN234020.1																	North America	Canada		Canis lupus familiaris	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2000
MN234019.1																	North America	Canada		Canis lupus familiaris	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2000
MN234018.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1999
MN234017.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1996
MN234016.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1993
MN234015.1																	North America	Canada		Canis lupus familiaris	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2013
MN234014.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2000
MN234013.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1995
MN234012.1																	North America	Canada		Canis lupus familiaris	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2017
MN234011.1																	North America	Canada		Canis lupus familiaris	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2017
MN234010.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2017
MN234009.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2017
MN234008.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2017
MN234007.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2016
MN234006.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2015
MN234005.1																	North America	Canada		Canis lupus familiaris	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2015
MN234004.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2015
MN234003.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2015
MN234002.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2015
MN234001.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2015
MN234000.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2015
MN233999.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2015
MN233998.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2014
MN233997.1																	North America	Canada		Canis lupus familiaris	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2013
MN233996.1																	North America	Canada		Canis lupus familiaris	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2013
MN233995.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2013
MN233994.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2013
MN233993.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN233992.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN233991.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN233990.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN233989.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2008
MN233988.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2008
MN233987.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2007
MN233986.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2007
MN233985.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2007
MN233984.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2006
MN233983.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2006
MN233982.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2006
MN233981.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2005
MN233980.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2005
MN233979.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2005
MN233978.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2004
MN233977.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2002
MN233976.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2002
MN233975.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1999
MN233974.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1999
MN233973.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2013
MN233972.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN233971.1																	North America	Canada		Canis lupus familiaris	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN233970.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN233969.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2008
MN233968.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2008
MN233967.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2007
MN233966.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2006
MN233965.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2006
MN233964.1																	North America	Canada		Canis lupus familiaris	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2005
MN233963.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2001
MN233962.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2000
MN233961.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2000
MN233960.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1998
MN233959.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1997
MN233958.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1994
MN233957.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1993
MN233956.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1993
MN233955.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1993
MN233954.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1993
MN233953.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1993
MN233952.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1993
MN233951.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1993
MN233950.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1992
MN233949.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1990
MN233948.1																	North America	Canada		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1990
MN233947.1																	North America	Canada		Ursus maritimus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1990
MN233946.1																	North America	Canada		Felis catus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2015
MN233945.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2015
MN233944.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2015
MN233943.1																	North America	Canada		Canis	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2015
MN233942.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2015
MN233941.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2015
MN233940.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2015
MN233939.1																	North America	Canada		Canis lupus familiaris	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2015
MN233938.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2015
MN233937.1																	North America	Canada		Canis	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2015
MN233936.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN233935.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN233934.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN233933.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN233932.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN233931.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN233930.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
